Term, Frequency
tabl printdirect,0.001006036217303823
printdirect function,0.000958597887133045
in lib,0.000911159556962267
lib /,0.000911159556962267
/ printer,0.000958597887133045
printer js,0.000958597887133045
node printer,0.000958597887133045
printer modul,0.000958597887133045
modul and,0.000816282896620711
earlier for,0.000958597887133045
allow remot,0.0007786758501674184
remot attack,0.0006837991898258624
via unspecifi,0.000863721226791489
unspecifi charact,0.000958597887133045
charact in,0.000863721226791489
in lpr,0.000958597887133045
lpr command,0.000958597887133045
command eval,0.001006036217303823
eval inject,0.000958597887133045
in index,0.000958597887133045
index js,0.000768844566449933
in syntax,0.000958597887133045
syntax error,0.000958597887133045
error packag,0.000958597887133045
packag befor,0.0005316529155960431
js as,0.000958597887133045
as use,0.000958597887133045
in ibm,0.000958597887133045
ibm ration,0.000958597887133045
ration applic,0.000958597887133045
applic develop,0.000958597887133045
develop and,0.000958597887133045
and other,0.000911159556962267
other product,0.000958597887133045
product allow,0.000958597887133045
code via,0.000958597887133045
via a,-3.760704645329265e-05
a craft,0.0006265295759375991
craft file,0.000863721226791489
file dn,0.000958597887133045
sync modul,0.000958597887133045
allow context,0.000958597887133045
context depend,0.000958597887133045
depend attack,0.000958597887133045
via shell,0.000958597887133045
shell metacharact,0.000958597887133045
metacharact in,0.000958597887133045
in first,0.000958597887133045
first argument,0.000911159556962267
to resolv,0.000958597887133045
resolv api,0.000958597887133045
api function,0.000958597887133045
