cve,cwe,score,"('arbitrari', 'command')","('command', 'inject')","('inject', 'vulner')","('a', 'command')","('inject', 'in')","('execut', 'arbitrari')","('to', 'execut')","('sequel', 'is')","('sqlite', 'and')","('microsoft', 'sql')","('sql', 'server')","('arbitrari', 'code')"
CVE-2018-1000086,CWE-352,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-1002203,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-11615,CWE-185,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-11798,CWE-538,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-12116,CWE-444,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-12121,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-12122,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16459,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16469,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16472,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16473,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16474,CWE-79,2,0,0,0,0,0,1,1,0,0,0,0,0
CVE-2018-16475,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16478,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16479,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16480,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16481,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16482,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16483,CWE-269,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16484,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16485,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16486,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16487,CWE-254,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16489,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16490,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16491,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16492,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-16493,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-18282,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3711,CWE-770,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3712,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3713,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3714,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3715,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3716,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3717,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3718,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3719,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3720,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3721,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3722,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3723,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3724,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3725,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3726,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3727,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3728,CWE-471,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3729,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3730,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3731,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3732,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3733,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3734,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3735,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3737,CWE-185,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3738,CWE-185,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3739,CWE-125,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3744,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3745,CWE-125,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3748,CWE-79,1,0,0,0,0,0,0,1,0,0,0,0,0
CVE-2018-3749,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3750,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3751,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3752,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3753,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3758,CWE-434,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3766,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3767,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3770,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3771,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3772,CWE-20,3,1,0,0,0,0,1,1,0,0,0,0,0
CVE-2018-3773,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3787,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-6184,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-6873,CWE-287,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-6874,CWE-352,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7307,CWE-352,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7651,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-0928,CWE-642,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-0930,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-15010,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16003,CWE-311,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16005,CWE-347,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16006,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16007,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16008,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16010,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16014,CWE-388,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16015,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16016,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16017,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16018,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16022,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16024,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16026,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16028,CWE-338,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16029,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16030,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16031,CWE-330,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16035,CWE-319,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16036,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16037,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16039,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16040,CWE-319,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16041,CWE-319,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16043,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16046,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16048,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16049,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16051,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16052,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16054,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16055,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16057,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16058,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16059,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16060,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16062,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16063,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16064,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16067,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16068,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16069,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16070,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16073,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16076,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16077,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16078,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16079,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16083,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16084,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16085,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16086,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16088,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16089,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16090,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16091,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16092,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16093,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16094,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16095,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16096,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16097,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16098,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16099,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16101,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16102,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16103,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16104,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16105,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16106,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16107,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16108,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16109,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16110,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16111,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16113,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16116,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16117,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16118,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16119,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16120,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16121,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16122,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16123,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16124,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16125,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16126,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16127,CWE-276,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16128,CWE-276,1,0,0,0,1,0,0,0,0,0,0,0,0
CVE-2017-16129,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16130,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16131,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16132,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16133,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16134,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16135,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16136,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16137,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16138,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16139,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16140,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16141,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16142,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16143,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16144,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16145,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16146,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16147,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16148,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16149,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16152,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16154,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16155,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16156,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16157,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16158,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16159,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16160,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16161,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16162,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16163,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16164,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16165,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16166,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16167,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16168,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16169,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16170,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16171,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16172,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16173,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16174,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16175,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16176,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16177,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16178,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16179,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16180,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16181,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16182,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16183,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16184,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16185,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16186,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16187,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16188,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16189,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16190,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16191,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16192,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16193,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16194,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16195,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16196,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16197,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16198,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16199,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16200,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16201,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16202,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16203,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16204,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16205,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16206,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16207,NVD-CWE-noinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16208,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16209,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16210,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16211,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16212,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
